# Deltinha | deltinha.com.br | @odeltinha | Plataforma de estudos para concursos públicos
Data,Início,Fim,Duração,Disciplina,Assuntos,Questões,Acertos,Status,Notas
03/04/2026,06:49,07:49,1h00,Informática,1. Conceito de internet e intranet (Parte 1),0,0,completed,"{""source"":""estudo-monitorado"",""edital_id"":200,""topico_id"":""71846"",""disciplina"":""INFORMÁTICA"",""topico"":""1. Conceito de internet e intranet (Parte 1)"",""tag_id"":""837ae141-9612-441d-8e44-c382fd7c5024"",""assunto_id"":""5acceec6-175c-41b4-9019-b67586a06dcb""}"
03/04/2026,05:57,06:27,30min,Informática,1. Conceito de internet e intranet,0,0,completed,"{""source"":""estudo-monitorado"",""edital_id"":200,""topico_id"":""71846"",""disciplina"":""INFORMÁTICA"",""topico"":""1. Conceito de internet e intranet"",""tag_id"":""837ae141-9612-441d-8e44-c382fd7c5024"",""assunto_id"":""9d4390e9-f5af-44f2-ab8b-6b4153953d18""}"
